gufi,timestamp,departure_runway_actual,departure_runway_actual_time,arrival_runway_actual,arrival_runway_actual_time
AAL2214.MSP.CLT.201031.1418.0039.TFM,2020-11-01 16:47:31,,,36L,2020-11-01 16:47:31
JIA5380.RIC.CLT.201031.1533.0061.TFM,2020-11-01 16:48:34,,,36R,2020-11-01 16:48:34
AAL1804.IAH.CLT.201031.1443.0071.TFM,2020-11-01 16:48:42,,,36L,2020-11-01 16:48:42
JIA5343.SAV.CLT.201031.1553.0063.TFM,2020-11-01 16:50:05,,,36R,2020-11-01 16:50:05
AAL2402.SRQ.CLT.201031.1513.0033.TFM,2020-11-01 16:50:12,,,36L,2020-11-01 16:50:12
JIA5090.TRI.CLT.201031.1553.0057.TFM,2020-11-01 16:51:27,,,36L,2020-11-01 16:51:27
VTE3402.CLT.BKW.201031.1653.0180.TFM,2020-11-01 16:52:38,36C,2020-11-01 16:52:38,,
JIA5538.GPT.CLT.201031.1524.0033.TFM,2020-11-01 16:52:41,,,36L,2020-11-01 16:52:41
LN207CM.CLT.CHS.201101.1511.0009.TFM,2020-11-01 16:53:47,36R,2020-11-01 16:53:47,,
JIA5568.DAY.CLT.201031.1539.0012.TFM,2020-11-01 16:53:55,,,36L,2020-11-01 16:53:55
PDT6185.ROA.CLT.201031.1538.0047.TFM,2020-11-01 16:54:16,,,36R,2020-11-01 16:54:16
JIA5240.CAE.CLT.201031.1553.0061.TFM,2020-11-01 16:55:11,,,36L,2020-11-01 16:55:11
JIA5115.BWI.CLT.201031.1529.0041.TFM,2020-11-01 16:55:51,,,36R,2020-11-01 16:55:51
JIA5341.CRW.CLT.201031.1558.0047.TFM,2020-11-01 16:56:33,,,36L,2020-11-01 16:56:33
AAL1912.RDU.CLT.201031.1553.0200.TFM,2020-11-01 16:57:40,,,36L,2020-11-01 16:57:40
AAL2855.EWR.CLT.201031.1503.0077.TFM,2020-11-01 16:57:49,,,36R,2020-11-01 16:57:49
AAL2064.FLL.CLT.201031.1509.0026.TFM,2020-11-01 16:58:56,,,36L,2020-11-01 16:58:56
AAL1801.BOS.CLT.201031.1428.0081.TFM,2020-11-01 17:00:15,,,36L,2020-11-01 17:00:15
N608SM.M83.CLT.201031.1951.0021.TFM,2020-11-01 17:00:32,,,36R,2020-11-01 17:00:32
JIA5072.TYS.CLT.201031.1603.0028.TFM,2020-11-01 17:01:39,,,36L,2020-11-01 17:01:39
EJA652.LWB.CLT.201031.1714.0012.TFM,2020-11-01 17:02:10,,,36R,2020-11-01 17:02:10
AAL2073.JAX.CLT.201031.1544.0015.TFM,2020-11-01 17:03:50,,,36L,2020-11-01 17:03:50
TN125JJ.SRQ.CLT.201031.1458.0082.TFM,2020-11-01 17:04:00,,,36R,2020-11-01 17:04:00
AAL647.DTW.CLT.201031.1529.0027.TFM,2020-11-01 17:05:25,,,36L,2020-11-01 17:05:25
JIA5206.EWN.CLT.201031.1558.0040.TFM,2020-11-01 17:06:18,,,36R,2020-11-01 17:06:18
GJS4404.CLT.ORD.201031.1659.0007.TFM,2020-11-01 17:06:36,36C,2020-11-01 17:06:36,,
JIA5559.AVL.CLT.201031.1608.0044.TFM,2020-11-01 17:06:49,,,36L,2020-11-01 17:06:49
AAL1675.MIA.CLT.201031.1518.0052.TFM,2020-11-01 17:08:07,,,36L,2020-11-01 17:08:07
PDT6015.MDT.CLT.201031.1533.0016.TFM,2020-11-01 17:08:37,,,36R,2020-11-01 17:08:37
DAL1653.ATL.CLT.201031.1608.0059.TFM,2020-11-01 17:09:27,,,36L,2020-11-01 17:09:27
RPA4352.PIT.CLT.201031.1524.0021.TFM,2020-11-01 17:10:48,,,36L,2020-11-01 17:10:48
RPA4529.HHH.CLT.201031.1558.0042.TFM,2020-11-01 17:12:22,,,36R,2020-11-01 17:12:22
AAL998.ATL.CLT.201031.1609.0029.TFM,2020-11-01 17:12:37,,,36L,2020-11-01 17:12:37
LXJ360.CLT.MCO.201101.1129.0002.TMA,2020-11-01 17:13:21,36C,2020-11-01 17:13:21,,
JIA5476.CMH.CLT.201031.1544.0039.TFM,2020-11-01 17:13:51,,,36L,2020-11-01 17:13:51
AAL1668.ORD.CLT.201031.1524.0124.TFM,2020-11-01 17:15:28,,,36L,2020-11-01 17:15:28
JIA5337.CHA.CLT.201031.1558.0045.TFM,2020-11-01 17:16:56,,,36L,2020-11-01 17:16:56
N703DR.CHS.CLT.201101.1507.0018.TFM,2020-11-01 17:16:58,,,36R,2020-11-01 17:16:58
AAL519.RSW.CLT.201031.1529.0035.TFM,2020-11-01 17:18:36,,,36L,2020-11-01 17:18:36
AAL632.PVD.CLT.201031.1459.0010.TFM,2020-11-01 17:19:43,,,36R,2020-11-01 17:19:43
JIA5172.PHF.CLT.201031.1553.0054.TFM,2020-11-01 17:21:28,,,36R,2020-11-01 17:21:28
AAL2316.JFK.CLT.201031.1524.0120.TFM,2020-11-01 17:22:57,,,36R,2020-11-01 17:22:57
N1116A.CLT.SUT.201101.1457.0002.TFM,2020-11-01 17:23:22,36C,2020-11-01 17:23:22,,
AAL1917.ORF.CLT.201031.1603.0102.TFM,2020-11-01 17:24:32,,,36R,2020-11-01 17:24:32
N828PL.CLT.MKS.201101.1639.0030.TFM,2020-11-01 17:24:52,36C,2020-11-01 17:24:52,,
ASH6023.IAD.CLT.201031.1553.0122.TFM,2020-11-01 17:25:31,,,36C,2020-11-01 17:25:31
RPA4392.EYW.CLT.201031.1509.0065.TFM,2020-11-01 17:26:34,,,36R,2020-11-01 17:26:34
JIA5297.TOL.CLT.201031.1603.0029.TFM,2020-11-01 17:27:45,,,36L,2020-11-01 17:27:45
USC414.SUS.CLT.201101.1400.0010.TMA,2020-11-01 17:28:56,,,36R,2020-11-01 17:28:56
AAL1846.OMA.CLT.201031.1524.0110.TFM,2020-11-01 17:30:57,,,36L,2020-11-01 17:30:57
AAL847.PHL.CLT.201031.1513.0047.TFM,2020-11-01 17:32:49,,,36R,2020-11-01 17:32:49
EJA652.CLT.CHS.201101.1407.0013.TFM,2020-11-01 17:34:32,36R,2020-11-01 17:34:32,,
TN125JJ.CLT.EKX.201031.1629.0041.TFM,2020-11-01 17:35:28,36R,2020-11-01 17:35:28,,
N367ND.MLB.CLT.201101.1326.0006.TFM,2020-11-01 17:46:35,,,36R,2020-11-01 17:46:35
EDV5109.CLT.DTW.201031.1728.0015.TFM,2020-11-01 17:46:59,36C,2020-11-01 17:46:59,,
RPA4555.MCI.CLT.201031.1608.0066.TFM,2020-11-01 17:50:03,,,36L,2020-11-01 17:50:03
AAL2013.SAT.CLT.201031.1533.0056.TFM,2020-11-01 17:52:08,,,36L,2020-11-01 17:52:08
FFT1050.MCO.CLT.201031.1628.0034.TFM,2020-11-01 17:55:33,,,36C,2020-11-01 17:55:33
LN265CM.BWI.CLT.201101.1500.0016.TFM,2020-11-01 18:00:40,,,18L,2020-11-01 18:00:40
JIA5676.HSV.CLT.201031.1703.0081.TFM,2020-11-01 18:03:08,,,18R,2020-11-01 18:03:08
N599H.CLT.PWK.201101.0734.0002.TFM,2020-11-01 18:03:24,18L,2020-11-01 18:03:24,,
AAL2549.AUS.CLT.201031.1548.0047.TFM,2020-11-01 18:04:25,,,18R,2020-11-01 18:04:25
ENY4254.CLT.GSO.201031.1753.0103.TFM,2020-11-01 18:04:38,18L,2020-11-01 18:04:38,,
AAL858.STL.CLT.201031.1649.0004.TFM,2020-11-01 18:05:54,,,18R,2020-11-01 18:05:54
JIA5441.CLT.SDF.201031.1753.0070.TFM,2020-11-01 18:07:35,18L,2020-11-01 18:07:35,,
JIA5314.ABE.CLT.201031.1638.0074.TFM,2020-11-01 18:07:36,,,18R,2020-11-01 18:07:36
AAL1818.CLT.RDU.201031.1754.0028.TFM,2020-11-01 18:09:06,18L,2020-11-01 18:09:06,,
JIA5467.ECP.CLT.201031.1653.0082.TFM,2020-11-01 18:09:19,,,18R,2020-11-01 18:09:19
AAL1722.CLT.LGA.201031.1758.0033.TFM,2020-11-01 18:10:06,18L,2020-11-01 18:10:06,,
JIA5452.BHM.CLT.201031.1653.0055.TFM,2020-11-01 18:10:51,,,18R,2020-11-01 18:10:51
PDT6081.CLT.SBY.201031.1753.0041.TFM,2020-11-01 18:11:09,18L,2020-11-01 18:11:09,,
AAL2030.DCA.CLT.201031.1649.0021.TFM,2020-11-01 18:11:46,,,18L,2020-11-01 18:11:46
AAL644.CLT.AUS.201031.1754.0030.TFM,2020-11-01 18:12:05,18C,2020-11-01 18:12:05,,
JIA5324.CAK.CLT.201031.1653.0045.TFM,2020-11-01 18:12:23,,,18R,2020-11-01 18:12:23
JIA5036.CLT.EVV.201031.1753.0068.TFM,2020-11-01 18:13:03,18C,2020-11-01 18:13:03,,
JIA5439.CLT.ILM.201031.1758.0050.TFM,2020-11-01 18:13:16,18L,2020-11-01 18:13:16,,
JIA5610.ORF.CLT.201031.1703.0080.TFM,2020-11-01 18:14:02,,,18L,2020-11-01 18:14:02
AAL1650.CLT.ORD.201031.1758.0020.TFM,2020-11-01 18:14:17,18C,2020-11-01 18:14:17,,
JIA5372.GNV.CLT.201031.1703.0067.TFM,2020-11-01 18:14:19,,,18R,2020-11-01 18:14:19
AAL2731.CLT.JFK.201031.1754.0031.TFM,2020-11-01 18:15:26,18C,2020-11-01 18:15:26,,
RPA4307.PIT.CLT.201031.1703.0036.TFM,2020-11-01 18:15:54,,,18R,2020-11-01 18:15:54
AAL2220.MYR.CLT.201031.1723.0106.TFM,2020-11-01 18:16:36,,,18L,2020-11-01 18:16:36
JIA5061.CLT.CRW.201031.1753.0045.TFM,2020-11-01 18:17:11,18C,2020-11-01 18:17:11,,
AAL2046.TPA.CLT.201031.1644.0037.TFM,2020-11-01 18:17:15,,,18R,2020-11-01 18:17:15
AAL561.CLT.MCO.201031.1758.0027.TFM,2020-11-01 18:18:12,18L,2020-11-01 18:18:12,,
JIA5079.CLT.TRI.201031.1753.0060.TFM,2020-11-01 18:18:17,18C,2020-11-01 18:18:17,,
JIA5312.PIA.CLT.201031.1648.0058.TFM,2020-11-01 18:18:56,,,18R,2020-11-01 18:18:56
PDT6113.ROA.CLT.201031.1708.0088.TFM,2020-11-01 18:19:01,,,18L,2020-11-01 18:19:01
AAL1659.CLT.SFO.201031.1758.0023.TFM,2020-11-01 18:19:33,18C,2020-11-01 18:19:33,,
JIA5104.FNT.CLT.201031.1638.0059.TFM,2020-11-01 18:20:07,,,18R,2020-11-01 18:20:07
AAL2206.CLT.RSW.201031.1754.0038.TFM,2020-11-01 18:20:33,18L,2020-11-01 18:20:33,,
AAL1712.CLT.SAT.201031.1808.0076.TFM,2020-11-01 18:21:19,18C,2020-11-01 18:21:19,,
RPA4301.OKC.CLT.201031.1613.0060.TFM,2020-11-01 18:21:26,,,18R,2020-11-01 18:21:26
JIA5497.DAB.CLT.201031.1658.0056.TFM,2020-11-01 18:21:30,,,18L,2020-11-01 18:21:30
N405QS.CLT.BKS.201031.1759.0001.TFM,2020-11-01 18:22:54,18L,2020-11-01 18:22:54,,
RPA3648.ORD.CLT.201031.1638.0019.TFM,2020-11-01 18:22:55,,,18R,2020-11-01 18:22:55
PDT6240.SBY.CLT.201031.1658.0068.TFM,2020-11-01 18:23:56,,,18L,2020-11-01 18:23:56
AAL1789.BUF.CLT.201031.1638.0111.TFM,2020-11-01 18:24:17,,,18R,2020-11-01 18:24:17
JIA5500.CLT.VPS.201031.1758.0043.TFM,2020-11-01 18:24:43,18C,2020-11-01 18:24:43,,
AAL591.CLT.PWM.201031.1758.0041.TFM,2020-11-01 18:25:36,18L,2020-11-01 18:25:36,,
RPA4282.MEM.CLT.201031.1703.0027.TFM,2020-11-01 18:25:38,,,18R,2020-11-01 18:25:38
JIA5644.FAY.CLT.201031.1738.0046.TFM,2020-11-01 18:25:48,,,18L,2020-11-01 18:25:48
JIA5503.CLT.DTW.201031.1753.0058.TFM,2020-11-01 18:25:54,18C,2020-11-01 18:25:54,,
RPA4399.IND.CLT.201031.1658.0077.TFM,2020-11-01 18:26:51,,,18R,2020-11-01 18:26:51
RPA4524.CLT.BNA.201031.1808.0048.TFM,2020-11-01 18:26:59,18C,2020-11-01 18:26:59,,
JIA5024.CLT.JAX.201031.1758.0034.TFM,2020-11-01 18:27:25,18L,2020-11-01 18:27:25,,
AAL1539.EWR.CLT.201031.1649.0005.TFM,2020-11-01 18:27:28,,,18L,2020-11-01 18:27:28
AAL1643.ATL.CLT.201031.1719.0010.TFM,2020-11-01 18:28:05,,,18R,2020-11-01 18:28:05
JIA5581.CLT.OKC.201031.1808.0049.TFM,2020-11-01 18:28:11,18C,2020-11-01 18:28:11,,
JIA5654.CLT.FAY.201031.1758.0028.TFM,2020-11-01 18:28:58,18L,2020-11-01 18:28:58,,
AAL436.LAX.CLT.201031.1353.0150.TFM,2020-11-01 18:29:17,,,18R,2020-11-01 18:29:17
AAL441.CLT.DEN.201031.1808.0067.TFM,2020-11-01 18:29:18,18C,2020-11-01 18:29:18,,
JIA5113.VPS.CLT.201031.1658.0083.TFM,2020-11-01 18:29:28,,,18L,2020-11-01 18:29:28
SKW1345.IAH.CLT.201031.1559.0070.TFM,2020-11-01 18:30:50,,,18R,2020-11-01 18:30:50
AAL413.CLT.BWI.201031.1803.0063.TFM,2020-11-01 18:31:05,18L,2020-11-01 18:31:05,,
AAL1930.MSY.CLT.201031.1649.0009.TFM,2020-11-01 18:31:12,,,18L,2020-11-01 18:31:12
AAL656.CLT.MSY.201031.1814.0002.TFM,2020-11-01 18:31:12,18C,2020-11-01 18:31:12,,
RPA4361.CLE.CLT.201031.1708.0065.TFM,2020-11-01 18:31:58,,,18R,2020-11-01 18:31:58
JIA5652.CLT.ERI.201031.1758.0030.TFM,2020-11-01 18:32:01,18C,2020-11-01 18:32:01,,
JIA5239.CLT.EWN.201031.1808.0052.TFM,2020-11-01 18:32:43,18L,2020-11-01 18:32:43,,
AAL609.BWI.CLT.201031.1703.0088.TFM,2020-11-01 18:33:12,,,18L,2020-11-01 18:33:12
AAL507.CLT.PHX.201031.1808.0054.TFM,2020-11-01 18:33:15,18C,2020-11-01 18:33:15,,
RPA4273.GRR.CLT.201031.1623.0035.TFM,2020-11-01 18:33:15,,,18R,2020-11-01 18:33:15
DAL1653.CLT.ATL.201031.1813.0064.TFM,2020-11-01 18:34:16,18C,2020-11-01 18:34:16,,
AAL784.DFW.CLT.201031.1614.0033.TFM,2020-11-01 18:34:22,,,18R,2020-11-01 18:34:22
AAL862.CLT.SRQ.201031.1808.0086.TFM,2020-11-01 18:34:35,18L,2020-11-01 18:34:35,,
AAL631.BOS.CLT.201031.1609.0027.TFM,2020-11-01 18:34:52,,,18L,2020-11-01 18:34:52
AAL1562.CLT.IAH.201031.1808.0069.TFM,2020-11-01 18:35:32,18C,2020-11-01 18:35:32,,
AAL530.SYR.CLT.201031.1633.0026.TFM,2020-11-01 18:35:43,,,18R,2020-11-01 18:35:43
PDT6160.CLT.ROA.201031.1803.0070.TFM,2020-11-01 18:36:22,18L,2020-11-01 18:36:22,,
JIA5160.CLT.SHV.201031.1808.0053.TFM,2020-11-01 18:36:38,18C,2020-11-01 18:36:38,,
RPA4347.SDF.CLT.201031.1703.0032.TFM,2020-11-01 18:37:05,,,18R,2020-11-01 18:37:05
N244FL.FLL.CLT.201101.1451.0027.TFM,2020-11-01 18:37:20,,,18L,2020-11-01 18:37:20
JIA5429.LIT.CLT.201031.1653.0081.TFM,2020-11-01 18:38:29,,,18R,2020-11-01 18:38:29
AAL1906.CLT.MCI.201031.1814.0020.TFM,2020-11-01 18:38:37,18C,2020-11-01 18:38:37,,
RPA4641.CLT.HHH.201031.1758.0031.TFM,2020-11-01 18:39:02,18L,2020-11-01 18:39:02,,
AAL1646.RSW.CLT.201031.1653.0122.TFM,2020-11-01 18:39:20,,,18L,2020-11-01 18:39:20
AAL517.CLT.DFW.201031.1819.0036.TFM,2020-11-01 18:39:47,18C,2020-11-01 18:39:47,,
RPA4601.IND.CLT.201031.1538.0032.TFM,2020-11-01 18:39:52,,,18R,2020-11-01 18:39:52
JIA5321.CLT.DAY.201031.1803.0094.TFM,2020-11-01 18:40:45,18C,2020-11-01 18:40:45,,
JIA5185.CLT.CHO.201031.1808.0044.TFM,2020-11-01 18:40:51,18L,2020-11-01 18:40:51,,
RPA4671.CMH.CLT.201031.1718.0032.TFM,2020-11-01 18:41:15,,,18R,2020-11-01 18:41:15
AAL384.PHL.CLT.201031.1703.0074.TFM,2020-11-01 18:41:35,,,18L,2020-11-01 18:41:35
JIA5682.CLT.GNV.201031.1803.0095.TFM,2020-11-01 18:41:51,18C,2020-11-01 18:41:51,,
JIA5091.CVG.CLT.201031.1653.0059.TFM,2020-11-01 18:42:30,,,18R,2020-11-01 18:42:30
JIA5066.CLT.TOL.201031.1808.0107.TFM,2020-11-01 18:42:50,18C,2020-11-01 18:42:50,,
JIA5251.CLT.SAV.201031.1813.0037.TFM,2020-11-01 18:43:01,18L,2020-11-01 18:43:01,,
JIA5029.ALB.CLT.201031.1628.0033.TFM,2020-11-01 18:43:35,,,18L,2020-11-01 18:43:35
AAL1849.MCO.CLT.201031.1708.0059.TFM,2020-11-01 18:43:50,,,18R,2020-11-01 18:43:50
JIA5033.CLT.CVG.201031.1818.0062.TFM,2020-11-01 18:43:58,18C,2020-11-01 18:43:58,,
