timestamp,start_time,departure_runways,arrival_runways
2020-11-03 03:52:32,2020-11-03 02:54:00,36R,"36L, 36R"
2020-11-03 04:53:08,2020-11-03 03:53:00,36R,"36L, 36R"
2020-11-03 05:54:27,2020-11-03 04:53:00,36R,"36L, 36R"
2020-11-03 06:52:33,2020-11-03 05:54:00,36R,36R
2020-11-03 07:51:47,2020-11-03 06:52:00,36R,36R
2020-11-03 08:52:41,2020-11-03 07:52:00,36R,36R
2020-11-03 09:55:23,2020-11-03 08:53:00,36R,36R
2020-11-03 10:53:12,2020-11-03 09:56:00,36R,"36L, 36R"
2020-11-03 11:52:19,2020-11-03 10:53:00,36R,"36L, 36R"
2020-11-03 12:15:07,2020-11-03 11:53:00,36R,"36L, 36R"
2020-11-03 12:52:41,2020-11-03 12:15:00,"36C, 36R","36C, 36L, 36R"
2020-11-03 13:18:51,2020-11-03 12:52:00,"36C, 36R","36C, 36L, 36R"
2020-11-03 13:57:07,2020-11-03 13:19:00,36C,"36C, 36L"
2020-11-03 14:52:19,2020-11-03 13:57:00,"36C, 36R","36C, 36L, 36R"
2020-11-03 15:52:43,2020-11-03 14:52:00,"36C, 36R","36C, 36L, 36R"
2020-11-03 15:52:47,2020-11-03 15:52:00,"36C, 36R","36C, 36L, 36R"
2020-11-03 16:55:03,2020-11-03 15:53:00,"36C, 36R","36C, 36L, 36R"
2020-11-03 17:51:59,2020-11-03 16:55:00,"36C, 36R","36C, 36L, 36R"
2020-11-03 18:52:43,2020-11-03 17:52:00,"36C, 36R","36C, 36L, 36R"
2020-11-03 19:54:45,2020-11-03 18:52:00,"36C, 36R","36C, 36L, 36R"
2020-11-03 20:55:21,2020-11-03 19:55:00,"36C, 36R","36C, 36L, 36R"
2020-11-03 21:52:25,2020-11-03 20:55:00,"36C, 36R","36C, 36L, 36R"
2020-11-03 22:52:45,2020-11-03 21:52:00,"36C, 36R","36C, 36L, 36R"
2020-11-03 23:52:07,2020-11-03 22:52:00,"36C, 36R","36C, 36L, 36R"
2020-11-04 00:52:49,2020-11-03 23:52:00,"36C, 36R","36C, 36L, 36R"
2020-11-04 01:54:12,2020-11-04 00:53:00,"36C, 36R","36C, 36L, 36R"
2020-11-04 02:14:35,2020-11-04 01:54:00,"36C, 36R","36C, 36L, 36R"
2020-11-04 02:51:50,2020-11-04 02:14:00,36R,"36L, 36R"
2020-11-04 03:52:44,2020-11-04 02:52:00,36R,"36L, 36R"
2020-11-04 03:55:30,2020-11-04 03:53:00,36R,"36L, 36R"
2020-11-04 06:04:48,2020-11-04 03:55:00,36R,36R
2020-11-04 07:27:05,2020-11-04 06:05:00,36R,36R
2020-11-04 07:55:31,2020-11-04 07:27:00,36R,36R
2020-11-04 08:52:10,2020-11-04 07:56:00,36R,36R
2020-11-04 09:51:50,2020-11-04 08:52:00,36R,36R
2020-11-04 10:53:49,2020-11-04 09:52:00,36R,36R
2020-11-04 11:29:20,2020-11-04 10:54:00,36R,36R
2020-11-04 11:52:42,2020-11-04 11:29:00,"36C, 36R","36C, 36L, 36R"
2020-11-04 13:01:50,2020-11-04 11:52:00,"36C, 36R","36C, 36L, 36R"
2020-11-04 13:55:17,2020-11-04 13:02:00,"36C, 36R","36C, 36L, 36R"
2020-11-04 14:59:19,2020-11-04 13:55:00,"36C, 36R","36C, 36L, 36R"
2020-11-04 15:52:08,2020-11-04 15:00:00,"36C, 36R","36C, 36L, 36R"
2020-11-04 16:02:05,2020-11-04 15:53:00,"36C, 36R","36C, 36L, 36R"
2020-11-04 16:52:24,2020-11-04 16:02:00,"36C, 36R","36C, 36L, 36R"
2020-11-04 17:52:07,2020-11-04 16:53:00,"36C, 36R","36C, 36L, 36R"
2020-11-04 18:52:51,2020-11-04 17:52:00,"36C, 36R","36C, 36L, 36R"
2020-11-04 19:53:51,2020-11-04 18:53:00,"36C, 36R","36C, 36L, 36R"
2020-11-04 20:52:33,2020-11-04 19:54:00,"36C, 36R","36C, 36L, 36R"
2020-11-04 21:52:01,2020-11-04 20:52:00,"36C, 36R","36C, 36L, 36R"
2020-11-04 22:52:48,2020-11-04 21:52:00,"36C, 36R","36C, 36L, 36R"
2020-11-04 23:55:14,2020-11-04 22:53:00,"36C, 36R","36C, 36L, 36R"
2020-11-05 00:59:15,2020-11-04 23:55:00,"36C, 36R","36C, 36L, 36R"
2020-11-05 01:53:44,2020-11-05 00:59:00,"36C, 36R","36C, 36L, 36R"
2020-11-05 02:23:29,2020-11-05 01:54:00,"36C, 36R","36C, 36L, 36R"
2020-11-05 02:54:47,2020-11-05 02:23:00,36R,"36L, 36R"
2020-11-05 03:59:33,2020-11-05 02:55:00,36R,"36L, 36R"
2020-11-05 04:53:08,2020-11-05 04:00:00,36R,"36L, 36R"
2020-11-05 06:03:56,2020-11-05 04:53:00,36R,"36L, 36R"
2020-11-05 07:53:01,2020-11-05 06:04:00,36R,"36L, 36R"
2020-11-05 08:54:44,2020-11-05 07:53:00,36R,"36L, 36R"
2020-11-05 09:52:52,2020-11-05 08:54:00,36R,36R
2020-11-05 10:52:32,2020-11-05 09:53:00,36R,36R
2020-11-05 11:24:46,2020-11-05 10:52:00,36R,36R
2020-11-05 11:54:56,2020-11-05 11:24:00,"36C, 36R","36C, 36L, 36R"
2020-11-05 12:28:53,2020-11-05 11:55:00,"36C, 36R","36C, 36L, 36R"
2020-11-05 12:46:13,2020-11-05 12:29:00,"36C, 36R","36C, 36L, 36R"
2020-11-05 12:52:37,2020-11-05 12:46:00,"36C, 36R","36C, 36L, 36R"
2020-11-05 13:04:45,2020-11-05 12:52:00,"36C, 36R","36C, 36L, 36R"
2020-11-05 14:01:47,2020-11-05 13:04:00,"36C, 36R","36C, 36L, 36R"
2020-11-05 14:52:50,2020-11-05 14:01:00,"36C, 36R","36C, 36L, 36R"
2020-11-05 15:12:22,2020-11-05 14:53:00,"36C, 36R","36C, 36L, 36R"
2020-11-05 15:55:23,2020-11-05 15:12:00,"36C, 36R","36C, 36L, 36R"
2020-11-05 16:52:46,2020-11-05 15:55:00,"36C, 36R","36C, 36L, 36R"
2020-11-05 17:53:25,2020-11-05 16:53:00,"36C, 36R","36C, 36L, 36R"
2020-11-05 18:52:49,2020-11-05 17:53:00,"36C, 36R","36C, 36L, 36R"
2020-11-05 19:53:05,2020-11-05 18:53:00,"36C, 36R","36C, 36L, 36R"
2020-11-05 20:55:19,2020-11-05 19:53:00,"36C, 36R","36C, 36L, 36R"
2020-11-05 21:53:40,2020-11-05 20:55:00,"36C, 36R","36C, 36L, 36R"
2020-11-05 22:57:45,2020-11-05 21:53:00,"36C, 36R","36C, 36L, 36R"
2020-11-05 23:52:44,2020-11-05 22:58:00,"36C, 36R","36C, 36L, 36R"
2020-11-06 00:52:59,2020-11-05 23:52:00,"36C, 36R","36C, 36L, 36R"
2020-11-06 01:54:15,2020-11-06 00:53:00,"36C, 36R","36C, 36L, 36R"
2020-11-06 02:24:38,2020-11-06 01:54:00,"36C, 36R","36C, 36L, 36R"
2020-11-06 02:59:43,2020-11-06 02:24:00,36R,"36L, 36R"
2020-11-06 03:54:07,2020-11-06 03:00:00,36R,"36L, 36R"
2020-11-06 04:52:33,2020-11-06 03:54:00,36R,36R
2020-11-06 05:53:04,2020-11-06 04:53:00,36R,36R
2020-11-06 07:18:14,2020-11-06 05:53:00,36R,36R
2020-11-06 07:53:18,2020-11-06 07:18:00,36R,36R
2020-11-06 10:31:16,2020-11-06 07:54:00,36R,36R
2020-11-06 10:43:32,2020-11-06 10:31:00,36R,36R
2020-11-06 10:55:42,2020-11-06 10:43:00,"36C, 36R","36C, 36R"
2020-11-06 11:56:16,2020-11-06 10:56:00,"36C, 36R","36C, 36R"
2020-11-06 12:53:08,2020-11-06 11:57:00,"36C, 36R","36C, 36L, 36R"
2020-11-06 13:53:17,2020-11-06 12:53:00,"36C, 36R","36C, 36L, 36R"
2020-11-06 14:52:26,2020-11-06 13:53:00,"36C, 36R","36C, 36L, 36R"
2020-11-06 15:58:44,2020-11-06 14:52:00,"36C, 36R","36C, 36L, 36R"
2020-11-06 16:52:32,2020-11-06 15:59:00,"36C, 36R","36C, 36L, 36R"
2020-11-06 17:54:10,2020-11-06 16:53:00,"36C, 36R","36C, 36L, 36R"
2020-11-06 18:52:40,2020-11-06 17:54:00,"36C, 36R","36C, 36L, 36R"
2020-11-06 19:58:46,2020-11-06 18:52:00,"36C, 36R","36C, 36L, 36R"
2020-11-06 20:52:23,2020-11-06 19:59:00,"36C, 36R","36C, 36L, 36R"
2020-11-06 21:52:13,2020-11-06 20:53:00,"36C, 36R","36C, 36L, 36R"
2020-11-06 22:52:10,2020-11-06 21:53:00,"36C, 36R","36C, 36L, 36R"
2020-11-06 22:53:51,2020-11-06 22:53:00,"36C, 36R","36C, 36L, 36R"
2020-11-06 23:53:03,2020-11-06 23:53:00,"36C, 36R","36C, 36L, 36R"
2020-11-07 00:55:48,2020-11-07 00:55:00,"36C, 36R","36C, 36L, 36R"
2020-11-07 01:54:05,2020-11-07 01:54:00,"36C, 36R","36C, 36L, 36R"
2020-11-07 02:59:20,2020-11-07 02:59:00,"36C, 36R","36C, 36L, 36R"
2020-11-07 04:14:38,2020-11-07 04:14:00,"36C, 36R","36C, 36L, 36R"
2020-11-07 04:52:49,2020-11-07 04:52:00,"36C, 36R","36C, 36L, 36R"
2020-11-07 05:52:45,2020-11-07 05:52:00,"36C, 36R","36C, 36L, 36R"
2020-11-07 06:53:31,2020-11-07 06:53:00,"36C, 36R","36C, 36L, 36R"
2020-11-07 07:56:06,2020-11-07 07:56:00,"36C, 36R","36C, 36L, 36R"
2020-11-07 08:53:09,2020-11-07 08:53:00,"36C, 36R","36C, 36L, 36R"
2020-11-07 09:52:44,2020-11-07 09:52:00,"36C, 36R","36C, 36L, 36R"
2020-11-07 11:53:56,2020-11-07 11:53:00,"36C, 36R","36C, 36L, 36R"
2020-11-07 12:57:10,2020-11-07 12:57:00,"36C, 36R","36C, 36L, 36R"
2020-11-07 13:53:04,2020-11-07 13:53:00,"36C, 36R","36C, 36L, 36R"
2020-11-07 15:00:10,2020-11-07 15:00:00,"36C, 36R","36C, 36L, 36R"
2020-11-07 15:59:17,2020-11-07 15:59:00,"36C, 36R","36C, 36L, 36R"
2020-11-07 16:33:08,2020-11-07 16:33:00,"36C, 36R","36C, 36L, 36R"
2020-11-07 16:52:54,2020-11-07 16:52:00,"36C, 36R","36C, 36L, 36R"
2020-11-07 17:53:30,2020-11-07 17:53:00,"36C, 36R","36C, 36L, 36R"
2020-11-07 18:53:00,2020-11-07 18:52:00,"36C, 36R","36C, 36L, 36R"
2020-11-07 19:53:08,2020-11-07 19:53:00,"36C, 36R","36C, 36L, 36R"
2020-11-07 20:53:20,2020-11-07 20:53:00,"36C, 36R","36C, 36L, 36R"
2020-11-07 21:53:26,2020-11-07 21:53:00,"36C, 36R","36C, 36L, 36R"
2020-11-07 22:53:35,2020-11-07 22:53:00,"36C, 36R","36C, 36L, 36R"
2020-11-07 23:52:47,2020-11-07 23:52:00,"36C, 36R","36C, 36L, 36R"
2020-11-08 00:52:58,2020-11-08 00:52:00,"36C, 36R","36C, 36L, 36R"
2020-11-08 01:52:46,2020-11-08 01:52:00,"36C, 36R","36C, 36L, 36R"
2020-11-08 02:52:48,2020-11-08 02:52:00,"36C, 36R","36C, 36L, 36R"
2020-11-08 03:53:27,2020-11-08 03:53:00,"36C, 36R","36C, 36R"
2020-11-08 04:52:53,2020-11-08 04:52:00,"36C, 36R","36C, 36R"
2020-11-08 06:30:11,2020-11-08 06:30:00,"36C, 36R","36C, 36R"
2020-11-08 07:55:14,2020-11-08 07:55:00,"36C, 36R","36C, 36R"
2020-11-08 08:54:14,2020-11-08 08:54:00,"36C, 36R","36C, 36R"
2020-11-08 09:52:52,2020-11-08 09:52:00,"36C, 36R","36C, 36R"
2020-11-08 10:52:59,2020-11-08 10:52:00,"36C, 36R","36C, 36R"
2020-11-08 11:54:11,2020-11-08 11:54:00,"36C, 36R","36C, 36L, 36R"
2020-11-08 12:08:55,2020-11-08 12:08:00,"36C, 36R","36C, 36L, 36R"
2020-11-08 12:59:02,2020-11-08 12:59:00,"36C, 36R","36C, 36L, 36R"
2020-11-08 13:07:59,2020-11-08 13:07:00,36R,"36L, 36R"
2020-11-08 13:37:10,2020-11-08 13:37:00,"36C, 36R","36C, 36L, 36R"
2020-11-08 13:52:49,2020-11-08 13:52:00,"36C, 36R","36C, 36L, 36R"
2020-11-08 14:41:15,2020-11-08 14:41:00,"36C, 36R","36C, 36L, 36R"
2020-11-08 14:53:03,2020-11-08 14:53:00,"36C, 36R","36C, 36L, 36R"
2020-11-08 15:54:03,2020-11-08 15:54:00,"36C, 36R","36C, 36L, 36R"
2020-11-08 16:53:42,2020-11-08 16:53:00,"36C, 36R","36C, 36L, 36R"
2020-11-08 17:54:27,2020-11-08 17:54:00,"36C, 36R","36C, 36L, 36R"
2020-11-08 18:53:20,2020-11-08 18:53:00,"36C, 36R","36C, 36L, 36R"
2020-11-08 19:55:16,2020-11-08 19:55:00,"36C, 36R","36C, 36L, 36R"
2020-11-08 21:00:36,2020-11-08 21:00:00,"36C, 36R","36C, 36L, 36R"
2020-11-08 21:58:10,2020-11-08 21:58:00,"36C, 36R","36C, 36L, 36R"
2020-11-08 22:57:08,2020-11-08 22:57:00,"36C, 36R","36C, 36L, 36R"
2020-11-08 23:52:57,2020-11-08 23:52:00,"36C, 36R","36C, 36L, 36R"
2020-11-09 00:53:59,2020-11-09 00:53:00,"36C, 36R","36C, 36L, 36R"
2020-11-09 02:24:51,2020-11-09 02:24:00,36C,"36C, 36L"
2020-11-09 02:53:49,2020-11-09 02:53:00,36C,"36C, 36L"
2020-11-09 03:53:52,2020-11-09 03:53:00,36C,36C
2020-11-09 03:56:02,2020-11-09 03:56:00,36C,36C
2020-11-09 04:54:37,2020-11-09 04:54:00,36C,36C
2020-11-09 05:52:49,2020-11-09 05:52:00,36C,36C
2020-11-09 06:52:45,2020-11-09 06:52:00,36C,36C
2020-11-09 07:52:53,2020-11-09 07:52:00,36C,36C
2020-11-09 07:59:47,2020-11-09 07:59:00,"36C, 36R","36C, 36R"
2020-11-09 08:54:12,2020-11-09 08:54:00,"36C, 36R","36C, 36R"
2020-11-09 09:53:22,2020-11-09 09:53:00,"36C, 36R","36C, 36R"
2020-11-09 10:53:15,2020-11-09 10:53:00,"36C, 36R","36C, 36L, 36R"
2020-11-09 11:57:01,2020-11-09 11:57:00,"36C, 36R","36C, 36L, 36R"
2020-11-09 12:53:35,2020-11-09 12:53:00,"36C, 36R","36C, 36L, 36R"
2020-11-09 13:52:54,2020-11-09 13:52:00,"36C, 36R","36C, 36L, 36R"
2020-11-09 14:53:02,2020-11-09 14:53:00,"36C, 36R","36C, 36L, 36R"
2020-11-09 15:59:29,2020-11-09 15:59:00,"36C, 36R","36C, 36L, 36R"
2020-11-09 16:10:29,2020-11-09 16:10:00,"36C, 36R","36C, 36L, 36R"
2020-11-09 16:27:16,2020-11-09 16:27:00,"36C, 36R","36C, 36L, 36R"
2020-11-09 16:54:28,2020-11-09 16:54:00,"36C, 36R","36C, 36L, 36R"
2020-11-09 17:53:25,2020-11-09 17:53:00,"36C, 36R","36C, 36L, 36R"
2020-11-09 18:53:05,2020-11-09 18:53:00,"36C, 36R","36C, 36L, 36R"
2020-11-09 19:54:42,2020-11-09 19:54:00,"36C, 36R","36C, 36L, 36R"
2020-11-09 20:57:17,2020-11-09 20:57:00,"36C, 36R","36C, 36L, 36R"
2020-11-09 21:52:50,2020-11-09 21:52:00,"36C, 36R","36C, 36L, 36R"
2020-11-09 22:52:54,2020-11-09 22:52:00,"36C, 36R","36C, 36L, 36R"
2020-11-10 00:44:37,2020-11-09 23:54:00,"36C, 36R","36C, 36L, 36R"
2020-11-10 00:53:14,2020-11-10 00:45:00,"36C, 36R","36C, 36L, 36R"
2020-11-10 01:52:04,2020-11-10 00:54:00,"36C, 36R","36C, 36L, 36R"
2020-11-10 02:24:47,2020-11-10 01:52:00,"36C, 36R","36C, 36L, 36R"
2020-11-10 02:33:42,2020-11-10 02:25:00,36R,"36L, 36R"
2020-11-10 02:42:15,2020-11-10 02:34:00,36R,"36L, 36R"
2020-11-10 02:53:54,2020-11-10 02:42:00,36R,"36L, 36R"
2020-11-10 03:15:40,2020-11-10 02:54:00,36R,"36L, 36R"
2020-11-10 03:52:47,2020-11-10 03:15:00,36R,"36L, 36R"
2020-11-10 04:33:48,2020-11-10 03:53:00,36R,"36L, 36R"
2020-11-10 04:53:15,2020-11-10 04:34:00,36R,"36L, 36R"
2020-11-10 05:52:16,2020-11-10 04:53:00,36R,36R
2020-11-10 06:52:56,2020-11-10 05:52:00,36R,36R
2020-11-10 07:52:34,2020-11-10 06:53:00,36R,36R
2020-11-10 08:52:45,2020-11-10 07:52:00,36R,36R
2020-11-10 09:32:53,2020-11-10 08:52:00,36R,36R
2020-11-10 09:52:13,2020-11-10 09:33:00,"36C, 36R","36C, 36R"
2020-11-10 10:41:42,2020-11-10 09:52:00,"36C, 36R","36C, 36R"
2020-11-10 10:53:28,2020-11-10 10:42:00,"36C, 36R","36C, 36L, 36R"
2020-11-10 11:05:29,2020-11-10 10:53:00,"36C, 36R","36C, 36L, 36R"
2020-11-10 11:52:40,2020-11-10 11:05:00,"36C, 36R","36C, 36L, 36R"
2020-11-10 12:57:12,2020-11-10 11:53:00,"36C, 36R","36C, 36L, 36R"
2020-11-10 13:56:20,2020-11-10 12:57:00,"36C, 36R","36C, 36L, 36R"
2020-11-10 14:34:57,2020-11-10 13:56:00,"36C, 36R","36C, 36L, 36R"
2020-11-10 14:52:50,2020-11-10 14:35:00,"36C, 36R","36C, 36L, 36R"
2020-11-10 15:52:49,2020-11-10 14:53:00,"36C, 36R","36C, 36L, 36R"
2020-11-10 15:53:47,2020-11-10 15:53:00,"36C, 36R","36C, 36L, 36R"
2020-11-10 16:52:16,2020-11-10 15:54:00,"36C, 36R","36C, 36L, 36R"
2020-11-10 17:14:54,2020-11-10 16:52:00,"36C, 36R","36C, 36L, 36R"
2020-11-10 17:52:48,2020-11-10 17:15:00,"36C, 36R","36C, 36L, 36R"
2020-11-10 18:52:51,2020-11-10 17:52:00,"36C, 36R","36C, 36L, 36R"
2020-11-10 18:52:52,2020-11-10 18:52:00,"36C, 36R","36C, 36L, 36R"
2020-11-10 19:54:37,2020-11-10 19:54:00,"36C, 36R","36C, 36L, 36R"
2020-11-10 20:57:48,2020-11-10 20:57:00,"36C, 36R","36C, 36L, 36R"
2020-11-10 21:53:34,2020-11-10 21:53:00,"36C, 36R","36C, 36L, 36R"
2020-11-10 22:54:37,2020-11-10 22:54:00,"36C, 36R","36C, 36L, 36R"
2020-11-10 23:54:47,2020-11-10 23:54:00,"36C, 36R","36C, 36L, 36R"
2020-11-11 00:54:59,2020-11-11 00:54:00,"36C, 36R","36C, 36L, 36R"
2020-11-11 01:52:47,2020-11-11 01:52:00,"36C, 36R","36C, 36L, 36R"
2020-11-11 02:53:16,2020-11-11 02:53:00,"36C, 36R","36C, 36L, 36R"
2020-11-11 03:55:54,2020-11-11 03:55:00,"36C, 36R","36C, 36L, 36R"
2020-11-11 04:38:50,2020-11-11 04:39:00,"36C, 36R","36C, 36L, 36R"
2020-11-11 04:54:34,2020-11-11 04:54:00,"36C, 36R","36C, 36L, 36R"
2020-11-11 05:01:12,2020-11-11 05:01:00,"36C, 36R","36C, 36R"
2020-11-11 06:22:53,2020-11-11 06:22:00,"36C, 36R","36C, 36R"
2020-11-11 06:52:49,2020-11-11 06:52:00,"36C, 36R","36C, 36R"
2020-11-11 07:04:03,2020-11-11 07:04:00,"36C, 36R","36C, 36R"
2020-11-11 07:57:26,2020-11-11 07:57:00,"18C, 18L","18C, 18L"
2020-11-11 08:53:46,2020-11-11 08:53:00,"18C, 18L","18C, 18L"
2020-11-11 09:24:46,2020-11-11 09:24:00,"18C, 18L","18C, 18L"
2020-11-11 09:52:57,2020-11-11 09:52:00,"18C, 18L","18C, 18L"
2020-11-11 10:53:00,2020-11-11 10:52:00,"18C, 18L","18C, 18L, 18R"
2020-11-11 11:41:25,2020-11-11 11:40:00,"18C, 18L","18C, 18L, 18R"
2020-11-11 11:56:26,2020-11-11 11:56:00,"18C, 18L","18C, 18L, 18R"
2020-11-11 12:52:46,2020-11-11 12:52:00,"18C, 18L","18C, 18L, 18R"
2020-11-11 13:48:06,2020-11-11 13:48:00,"18C, 18L","18C, 18L, 18R"
2020-11-11 13:54:50,2020-11-11 13:54:00,"18C, 18L","18C, 18L, 18R"
2020-11-11 14:42:23,2020-11-11 14:42:00,"18C, 18L","18C, 18L, 18R"
2020-11-11 14:55:43,2020-11-11 14:55:00,"18C, 18L","18C, 18L, 18R"
2020-11-11 14:58:04,2020-11-11 14:58:00,"18C, 18L","18C, 18L, 18R"
2020-11-11 15:25:48,2020-11-11 15:25:00,"18C, 18L","18C, 18L, 18R"
2020-11-11 16:53:54,2020-11-11 16:53:00,"18C, 18L","18C, 18L, 18R"
2020-11-11 17:12:05,2020-11-11 17:12:00,"18C, 18L","18C, 18L, 18R"
2020-11-11 17:55:34,2020-11-11 17:55:00,"18C, 18L","18C, 18L, 18R"
2020-11-11 18:17:31,2020-11-11 18:17:00,"18C, 18L","18C, 18L, 18R"
2020-11-11 18:54:03,2020-11-11 18:54:00,"18C, 18L","18C, 18L, 18R"
2020-11-11 20:10:19,2020-11-11 20:10:00,"18C, 18L","18C, 18L, 18R"
2020-11-11 20:52:43,2020-11-11 20:52:00,"18C, 18L","18C, 18L, 18R"
2020-11-11 21:17:52,2020-11-11 21:17:00,"18C, 18L","18C, 18L, 18R"
2020-11-11 21:53:19,2020-11-11 21:53:00,"18C, 18L","18C, 18L, 18R"
2020-11-11 22:25:01,2020-11-11 22:24:00,"18C, 18L","18C, 18L, 18R"
2020-11-11 22:53:27,2020-11-11 22:53:00,"18C, 18L","18C, 18L, 18R"
